country;region_code;region;year;sector;va;va_q05;emp;va_q10;va_q91
BWA;SSA;Sub-saharan Africa;1960;Agriculture;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1960;Mining;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1960;Manufacturing;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1960;Utilities;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1960;Construction;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1960;Trade, restaurants and hotels;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1960;Transport, storage and communication;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1960;Finance, insurance, real estate and business services;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1960;Government services;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1960;Community, social and personal services;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1960;Summation of sector GDP;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1961;Agriculture;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1961;Mining;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1961;Manufacturing;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1961;Utilities;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1961;Construction;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1961;Trade, restaurants and hotels;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1961;Transport, storage and communication;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1961;Finance, insurance, real estate and business services;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1961;Government services;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1961;Community, social and personal services;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1961;Summation of sector GDP;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1962;Agriculture;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1962;Mining;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1962;Manufacturing;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1962;Utilities;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1962;Construction;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1962;Trade, restaurants and hotels;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1962;Transport, storage and communication;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1962;Finance, insurance, real estate and business services;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1962;Government services;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1962;Community, social and personal services;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1962;Summation of sector GDP;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1963;Agriculture;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1963;Mining;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1963;Manufacturing;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1963;Utilities;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1963;Construction;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1963;Trade, restaurants and hotels;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1963;Transport, storage and communication;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1963;Finance, insurance, real estate and business services;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1963;Government services;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1963;Community, social and personal services;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1963;Summation of sector GDP;NA;NA;NA;NA;NA
BWA;SSA;Sub-saharan Africa;1964;Agriculture;1,63015437670298e+01;3,45431879373222e+02;1,52117872948922e+02;NA;NA
BWA;SSA;Sub-saharan Africa;1964;Mining;3,49407543897963e+00;2,00140736788043e+02;1,94000000000000e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1964;Manufacturing;7,36569643296385e-01;8,68873333700925e+00;2,42000000000000e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1964;Utilities;1,04393580301455e-01;3,67010144443157e+00;1,20000000000000e-01;NA;NA
BWA;SSA;Sub-saharan Africa;1964;Construction;6,60045374223713e-01;1,42094981991593e+02;2,70400000000000e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1964;Trade, restaurants and hotels;6,24373169353343e+00;3,28197765789088e+02;2,46800000000000e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1964;Transport, storage and communication;1,65892828174553e+00;2,32720271386100e+01;2,31500000000000e+00;NA;NA
